Success (%),,,,,,,,
$\sigma$,A,B,C,D,,,,
0.0001,6.666666667,13.33333333,28.33333333,6.666666667,,,,
0.0002,35,50,20,1.666666667,,,,
0.0003,36.66666667,53.33333333,45,6.666666667,,,,
0.0004,38.33333333,48.33333333,23.33333333,0,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
T/tau,,,,,,,,
$\sigma$,A,,B,,C,,D,
0.0001,4.903541131,0.26538049,4.397028469,0.454910765,4.153221619,0.243074001,3.013134155,0.360233637
0.0002,3.371319733,0.148455648,3.332958904,0.1446184,3.653548849,0.10733658,2.281002893,0.095529556
0.0003,2.650811952,0.174363995,2.682904126,0.142222797,3.940629757,0.253992202,1.880676565,0.023431339
0.0004,2.59682628,0.141279389,2.858645518,0.17656348,4.170086975,0.269045412,0,0
